order_id,customer_id,restaurant_name,city,order_amount,delivery_time,rating,payment_method,order_date,delivery_partner_age,distance_km
1,4174,Food Express,MUMBAI,296.91,75,3.4,UPI,2024-01-27,19,21.37
2,4507,SPICE HUB,HYDERABAD,428.26,93,0.3,CASH ,2024-02-03,53,39.99
3,1860,burger town,mumbai,574.0,128,4.7,UPI,2024-03-12,54,53.46
4,2294,Burger Town,mumbai,598.24,148,1.4,CARD  ,2024-04-04,36,4.45
5,2130,Food Express ,kolkata,511.81,101,2.0,UPI,2024-01-15,51,39.54
6,2095,Spice Hub ,mumbai,180.4,17,1.4,UPI,2024-05-01,61,29.22
7,4772,Biryani House,Kolkata ,1084.5,46,5.7,cash ,2024-04-22,43,41.19
8,4092,Spice Hub,Delhi,441.01,99,1.0,upi,2024-05-20,23,19.03
9,2638,burger town,Pune ,527.57,38,4.4,Card,2024-02-29,35,42.64
10,3169,Cafe Delight ,BANGALORE,654.19,32,1.5,UPI ,2024-04-21,58,10.82
11,1466,Spice Hub ,MUMBAI,340.87,28,2.5,Cash,2024-02-27,61,46.52
12,2238,Burger Town ,Chennai ,514.23,87,6.0,CASH ,2024-03-24,36,44.96
13,1330,biryani house,mumbai,330.7,103,0.6,cash  ,2024-01-11,50,56.81
14,2482,Biryani House ,MUMBAI,603.89,123,5.3,UPI,2024-06-21,58,10.39
15,3135,Pizza Point,Hyderabad,430.99,33,5.7, CARD ,2024-06-08,47,43.32
16,4444, Burger Town,hyderabad,567.18,19,4.2,card,2024-04-17,51,19.36
17,4171,PIZZA POINT,Pune ,238.37,100,0.1,upi ,2024-05-10,56,16.91
18,3919,burger town,bangalore,292.77,128,4.9, upi,2024-01-13,20,24.1
19,4735,Pizza Point,Bangalore,158.71,26,5.3,UPI,2024-01-27,60,17.11
20,1130, Spice Hub,hyderabad,322.37,124,5.9,cash ,2024-05-25,19,14.89
21,2685,SPICE HUB, Pune,-143.38,134,5.0,card,2024-02-05,22,46.1
22,4380,Pizza Point ,pune,423.22,139,2.7,CARD  ,2024-02-07,49,41.97
23,1769,Pizza Point,Delhi,366.44,132,4.1,upi ,2024-04-27,35,6.56
