age,salary,experience,city,education,purchased
56.0,73728.0,13.0,,School,0
69.0,44864.0,21.0,Delhi,PostGraduate,0
46.0,48216.0,26.0,Chennai,School,0
32.0,30220.0,5.0,Delhi,School,1
60.0,47092.0,11.0,Mumbai,School,1
25.0,57984.0,0.0,Delhi,School,1
38.0,61438.0,,Chennai,Graduate,1
56.0,73429.0,29.0,Mumbai,Graduate,1
36.0,57804.0,18.0,Bangalore,Graduate,0
40.0,54154.0,0.0,Bangalore,Graduate,0
28.0,43306.0,28.0,Bangalore,School,0
28.0,40074.0,21.0,,PostGraduate,1
41.0,64554.0,,Mumbai,School,1
53.0,64266.0,5.0,Mumbai,School,1
57.0,33845.0,15.0,Mumbai,Graduate,1
41.0,60846.0,27.0,Bangalore,Graduate,1
20.0,59756.0,28.0,Kolkata,PostGraduate,1
39.0,33293.0,27.0,Delhi,Graduate,0
19.0,58107.0,29.0,Kolkata,School,1
41.0,34257.0,14.0,Kolkata,Graduate,0
61.0,13561.0,11.0,Chennai,PostGraduate,1
47.0,47598.0,26.0,Delhi,PostGraduate,1
55.0,,5.0,Kolkata,Graduate,0
19.0,48274.0,14.0,Kolkata,Graduate,1
38.0,93007.0,17.0,Bangalore,Graduate,1
,55683.0,0.0,Kolkata,PostGraduate,0
29.0,52207.0,19.0,Kolkata,School,0
39.0,56444.0,28.0,Chennai,School,1
61.0,43380.0,15.0,Bangalore,,0
42.0,,10.0,Bangalore,School,1
66.0,55415.0,29.0,Kolkata,Graduate,0
44.0,54728.0,8.0,,School,1
59.0,40638.0,15.0,Mumbai,PostGraduate,1
45.0,26535.0,15.0,Delhi,School,1
33.0,42479.0,0.0,Delhi,School,1
32.0,54240.0,22.0,Delhi,PostGraduate,0
64.0,43330.0,18.0,Kolkata,School,1
68.0,54376.0,24.0,Bangalore,School,1
61.0,46515.0,17.0,Chennai,School,0
69.0,56459.0,,Bangalore,School,1
20.0,35348.0,6.0,Kolkata,Graduate,1
54.0,52893.0,23.0,Bangalore,School,1
68.0,40386.0,16.0,Kolkata,Graduate,0
24.0,26926.0,24.0,Delhi,School,1
38.0,47523.0,6.0,Mumbai,Graduate,1
26.0,73045.0,2.0,Bangalore,Graduate,1
56.0,28121.0,12.0,Mumbai,School,0
35.0,51791.0,29.0,Mumbai,School,1
21.0,61964.0,22.0,Mumbai,PostGraduate,0
42.0,84500.0,27.0,Kolkata,School,1
31.0,42606.0,29.0,Chennai,School,0
67.0,,11.0,Bangalore,Graduate,0
26.0,162500.0,29.0,Delhi,PostGraduate,0
43.0,67108.0,12.0,,,1
19.0,36989.0,5.0,Kolkata,PostGraduate,1
37.0,44441.0,23.0,Chennai,,0
45.0,22266.0,23.0,Chennai,PostGraduate,1
,63260.0,29.0,,Graduate,0
24.0,67374.0,,Kolkata,PostGraduate,0
61.0,62687.0,14.0,Bangalore,Graduate,1
25.0,25920.0,3.0,Chennai,School,1
64.0,59107.0,17.0,Chennai,Graduate,1
52.0,24910.0,,Mumbai,Graduate,1
31.0,50871.0,23.0,Kolkata,Graduate,0
34.0,53076.0,2.0,Kolkata,PostGraduate,0
53.0,54653.0,28.0,Kolkata,School,0
67.0,58020.0,,Kolkata,Graduate,0
,49879.0,12.0,Mumbai,,1
21.0,20564.0,,Mumbai,PostGraduate,0
19.0,,19.0,Chennai,PostGraduate,0
23.0,257320.0,20.0,Chennai,School,0
59.0,36461.0,11.0,Bangalore,Graduate,1
21.0,26459.0,23.0,Delhi,PostGraduate,1
46.0,73100.0,3.0,Chennai,School,1
35.0,68470.0,11.0,Mumbai,School,0
43.0,60589.0,20.0,Bangalore,School,1
61.0,39856.0,18.0,Chennai,School,1
51.0,12245.0,18.0,Bangalore,PostGraduate,1
27.0,,4.0,Mumbai,PostGraduate,0
53.0,55500.0,1.0,Kolkata,School,1
31.0,44380.0,,Bangalore,Graduate,0
48.0,,,Kolkata,PostGraduate,1
65.0,62720.0,9.0,Delhi,Graduate,0
32.0,52641.0,29.0,Chennai,PostGraduate,0
25.0,50526.0,28.0,Mumbai,PostGraduate,0
,50765.0,16.0,Bangalore,PostGraduate,0
40.0,60199.0,29.0,Kolkata,School,1
57.0,37138.0,13.0,Mumbai,Graduate,0
38.0,56390.0,4.0,Bangalore,Graduate,0
33.0,36191.0,3.0,Kolkata,PostGraduate,0
62.0,70048.0,12.0,Delhi,School,1
35.0,57982.0,25.0,Kolkata,School,0
64.0,39677.0,15.0,Delhi,School,0
41.0,51209.0,12.0,Kolkata,School,1
43.0,37193.0,26.0,Kolkata,PostGraduate,0
42.0,72562.0,28.0,Chennai,,0
62.0,74343.0,23.0,Mumbai,Graduate,0
58.0,60443.0,17.0,Delhi,School,0
46.0,,6.0,Mumbai,School,1
,,7.0,Chennai,School,1
62.0,,4.0,Kolkata,PostGraduate,0
18.0,68371.0,15.0,Delhi,PostGraduate,1
42.0,49914.0,,Chennai,PostGraduate,1
24.0,51067.0,2.0,Chennai,School,1
26.0,64005.0,5.0,Delhi,School,0
41.0,59697.0,12.0,Kolkata,PostGraduate,1
18.0,38668.0,16.0,Delhi,Graduate,0
61.0,17198.0,18.0,,Graduate,1
25.0,47367.0,24.0,Chennai,PostGraduate,0
41.0,18546.0,10.0,Bangalore,Graduate,1
28.0,35135.0,,Mumbai,Graduate,0
68.0,36886.0,28.0,Chennai,School,0
34.0,41470.0,20.0,Kolkata,PostGraduate,1
,62307.0,21.0,Chennai,Graduate,1
52.0,65565.0,8.0,Bangalore,School,1
52.0,57631.0,10.0,Kolkata,PostGraduate,1
50.0,59488.0,1.0,Chennai,Graduate,1
22.0,59842.0,22.0,Delhi,School,0
59.0,12548.0,5.0,Mumbai,Graduate,1
56.0,50153.0,10.0,Bangalore,Graduate,1
58.0,23053.0,27.0,Chennai,Graduate,1
45.0,57637.0,8.0,Bangalore,PostGraduate,0
24.0,18603.0,26.0,Mumbai,PostGraduate,1
26.0,,16.0,,School,1
25.0,58217.0,13.0,Delhi,PostGraduate,1
29.0,33234.0,19.0,Mumbai,School,1
,64426.0,26.0,Delhi,PostGraduate,0
50.0,57599.0,,Kolkata,School,0
65.0,55712.0,16.0,Delhi,Graduate,1
40.0,60470.0,3.0,Bangalore,PostGraduate,0
41.0,44612.0,9.0,Bangalore,Graduate,0
54.0,52279.0,12.0,Mumbai,Graduate,1
52.0,,21.0,Kolkata,PostGraduate,1
61.0,49812.0,0.0,Delhi,School,1
57.0,,8.0,Bangalore,PostGraduate,1
,,20.0,Bangalore,Graduate,1
44.0,44947.0,2.0,Chennai,PostGraduate,1
52.0,44121.0,14.0,Chennai,Graduate,0
18.0,38949.0,24.0,Mumbai,PostGraduate,0
52.0,62781.0,9.0,Mumbai,Graduate,1
54.0,32417.0,11.0,,Graduate,0
64.0,47427.0,26.0,Bangalore,Graduate,1
31.0,67495.0,0.0,Kolkata,Graduate,1
20.0,63637.0,13.0,Kolkata,Graduate,0
18.0,68244.0,1.0,Mumbai,PostGraduate,0
22.0,,29.0,Mumbai,PostGraduate,0
43.0,61764.0,28.0,Chennai,Graduate,1
31.0,34055.0,7.0,Chennai,,0
56.0,45862.0,2.0,Kolkata,,1
44.0,47274.0,9.0,Delhi,Graduate,1
26.0,41362.0,8.0,Bangalore,PostGraduate,0
32.0,44573.0,4.0,,PostGraduate,1
32.0,42599.0,24.0,Bangalore,Graduate,0
43.0,35264.0,27.0,Kolkata,School,1
59.0,62846.0,0.0,Delhi,School,1
30.0,47263.0,4.0,Mumbai,School,1
68.0,53022.0,11.0,Mumbai,Graduate,1
49.0,52457.0,19.0,Kolkata,PostGraduate,1
56.0,50821.0,6.0,,PostGraduate,1
66.0,51392.0,,Delhi,School,0
69.0,45419.0,0.0,Mumbai,School,1
49.0,71276.0,15.0,Mumbai,,0
21.0,61411.0,2.0,Delhi,Graduate,0
47.0,,4.0,Mumbai,School,0
54.0,43294.0,7.0,Delhi,PostGraduate,1
40.0,48218.0,29.0,Delhi,School,1
56.0,56264.0,23.0,Kolkata,PostGraduate,1
62.0,72499.0,18.0,Chennai,,0
32.0,,,Kolkata,PostGraduate,1
60.0,59897.0,10.0,Delhi,School,1
46.0,66901.0,20.0,Delhi,PostGraduate,1
53.0,27699.0,,Mumbai,Graduate,1
30.0,47283.0,8.0,Mumbai,Graduate,1
,34032.0,10.0,Kolkata,School,1
24.0,56458.0,17.0,Kolkata,School,0
68.0,44625.0,11.0,Chennai,School,0
39.0,,10.0,Bangalore,Graduate,0
45.0,43834.0,6.0,Chennai,Graduate,0
19.0,60802.0,22.0,Delhi,School,1
59.0,53435.0,17.0,Kolkata,School,1
,53464.0,5.0,Kolkata,Graduate,1
23.0,52409.0,7.0,Chennai,Graduate,1
45.0,58587.0,12.0,Chennai,,0
45.0,46070.0,2.0,Mumbai,PostGraduate,1
61.0,75512.0,24.0,Chennai,School,1
61.0,31478.0,23.0,Delhi,Graduate,0
37.0,24111.0,27.0,Mumbai,PostGraduate,1
47.0,22870.0,29.0,Mumbai,Graduate,1
,18806.0,2.0,Mumbai,School,0
45.0,60098.0,22.0,Chennai,School,0
42.0,58271.0,14.0,Bangalore,Graduate,0
56.0,68117.0,7.0,Bangalore,Graduate,1
