customer_id,age,monthly_income,spending_score,city_tier,owns_car,online_purchase_per_month
1,,39823.0,,Tier3,1,5
2,33.0,45418.0,66.0,Tier3,0,4
3,,41039.0,41.0,Tier2,1,5
4,53.0,51656.0,72.0,Tier1,1,5
5,32.0,67958.0,30.0,Tier2,0,9
6,32.0,38434.0,47.0,Tier1,0,6
7,54.0,65012.0,20.0,Tier2,1,2
8,44.0,38275.0,91.0,Tier3,0,2
9,29.0,37286.0,55.0,Tier1,0,5
10,42.0,62279.0,103.0,Tier1,0,6
11,29.0,63829.0,76.0,Tier1,0,7
12,29.0,62771.0,69.0,Tier2,0,5
13,38.0,30263.0,48.0,Tier1,1,6
14,12.0,43011.0,,Tier2,1,10
15,14.0,62345.0,70.0,Tier1,0,6
16,28.0,50623.0,,Tier1,0,5
17,23.0,33895.0,33.0,Tier2,1,4
18,39.0,56875.0,30.0,Tier2,0,3
19,24.0,39278.0,41.0,Tier2,1,4
20,18.0,76918.0,96.0,Tier1,1,1
21,53.0,73173.0,104.0,Tier1,1,7
22,32.0,59061.0,64.0,Tier3,0,5
23,,70415.0,63.0,Tier2,0,6
24,18.0,254860.0,53.0,Tier3,0,2
25,28.0,61482.0,41.0,Tier1,0,3
26,,72166.0,88.0,Tier1,1,4
27,21.0,268410.0,97.0,Tier2,1,4
28,40.0,46172.0,42.0,Tier3,1,3
29,28.0,24431.0,58.0,Tier3,0,4
30,31.0,48753.0,51.0,Tier3,1,3
31,28.0,62351.0,,Tier1,0,3
32,57.0,64185.0,84.0,Tier3,1,3
33,,57565.0,34.0,Tier3,0,7
34,22.0,41881.0,69.0,Tier1,0,8
35,45.0,20348.0,75.0,Tier2,1,7
36,20.0,,57.0,Tier2,1,4
37,38.0,45435.0,78.0,Tier1,1,4
38,11.0,45306.0,,Tier2,0,6
39,19.0,59278.0,84.0,Tier3,1,7
40,37.0,79785.0,30.0,Tier3,1,4
41,44.0,51853.0,53.0,Tier3,1,3
42,37.0,46749.0,59.0,Tier2,1,6
43,34.0,46112.0,7.0,Tier2,1,1
44,31.0,51866.0,,Tier2,0,6
45,17.0,37576.0,44.0,Tier2,0,10
46,26.0,51803.0,79.0,Tier1,0,2
47,29.0,56762.0,46.0,Tier2,1,7
48,48.0,53145.0,44.0,Tier1,0,9
49,39.0,56863.0,76.0,Tier1,0,8
50,14.0,56506.0,28.0,Tier1,1,4
51,39.0,23422.0,19.0,Tier3,0,6
52,30.0,59553.0,53.0,Tier1,0,5
53,27.0,39935.0,31.0,Tier2,1,4
54,42.0,33562.0,32.0,Tier3,0,6
55,47.0,33433.0,71.0,Tier2,0,6
56,46.0,56503.0,78.0,Tier1,0,5
57,25.0,46661.0,76.0,Tier2,0,10
58,31.0,24770.0,82.0,Tier1,0,4
59,39.0,57171.0,85.0,Tier1,1,9
60,47.0,28406.0,17.0,Tier3,1,5
61,29.0,52097.0,69.0,Tier1,0,5
62,33.0,53577.0,49.0,Tier2,0,7
63,22.0,63284.0,45.0,Tier2,0,6
64,21.0,76725.0,71.0,Tier1,0,5
65,45.0,29530.0,,Tier2,1,3
66,51.0,49213.0,25.0,Tier1,0,9
67,34.0,45855.0,73.0,Tier1,1,6
68,47.0,56506.0,70.0,Tier2,1,1
69,39.0,53235.0,63.0,Tier1,1,5
70,27.0,44712.0,42.0,Tier2,0,3
71,39.0,43386.0,75.0,Tier1,0,5
72,53.0,33253.0,74.0,Tier2,0,3
73,35.0,64818.0,62.0,Tier2,1,3
74,54.0,56888.0,36.0,Tier2,0,3
75,4.0,63767.0,,Tier3,0,3
76,45.0,45344.0,77.0,Tier2,1,4
77,36.0,40147.0,87.0,Tier3,0,1
78,31.0,33825.0,53.0,Tier1,0,0
79,36.0,55384.0,55.0,Tier3,0,2
80,11.0,34403.0,,Tier2,0,4
81,32.0,77730.0,65.0,Tier2,1,6
82,39.0,30385.0,48.0,Tier3,0,4
83,53.0,54105.0,2.0,Tier2,1,6
84,29.0,73503.0,84.0,Tier3,1,2
85,25.0,58986.0,96.0,Tier2,0,3
86,29.0,52635.0,48.0,Tier2,0,5
87,46.0,35473.0,39.0,Tier2,0,4
88,39.0,29273.0,57.0,Tier1,1,4
89,29.0,,56.0,Tier2,1,7
90,41.0,72592.0,80.0,Tier3,0,4
91,36.0,43417.0,61.0,Tier3,0,6
92,47.0,32914.0,44.0,Tier2,1,2
93,27.0,13127.0,34.0,Tier2,0,9
94,31.0,35289.0,77.0,Tier1,1,3
95,30.0,48295.0,72.0,Tier1,1,6
96,17.0,,81.0,Tier1,1,6
97,39.0,60097.0,41.0,Tier1,1,4
98,38.0,54576.0,97.0,Tier2,1,6
99,35.0,43998.0,25.0,Tier3,1,6
100,32.0,41253.0,74.0,Tier1,1,7
101,18.0,71085.0,,Tier1,0,8
102,30.0,53011.0,44.0,Tier1,0,2
103,31.0,18461.0,91.0,Tier1,1,5
104,,39897.0,77.0,Tier2,0,4
105,33.0,37127.0,49.0,Tier1,1,5
106,40.0,,50.0,Tier1,1,7
107,58.0,58444.0,62.0,Tier3,0,3
108,37.0,48388.0,70.0,Tier1,0,8
109,38.0,48847.0,85.0,Tier3,0,7
110,34.0,69702.0,51.0,Tier2,0,3
111,12.0,39553.0,28.0,Tier1,1,2
112,35.0,77963.0,63.0,Tier3,0,9
113,36.0,39930.0,51.0,Tier2,1,6
114,65.0,51338.0,34.0,Tier1,0,2
115,33.0,45782.0,66.0,Tier1,1,6
116,39.0,51851.0,56.0,Tier3,0,7
117,35.0,56669.0,66.0,Tier2,0,5
118,21.0,56508.0,42.0,Tier2,0,8
119,49.0,38703.0,70.0,Tier1,0,4
120,44.0,33156.0,34.0,Tier1,1,7
121,44.0,87548.0,43.0,Tier3,1,2
122,24.0,42740.0,55.0,Tier3,0,5
123,52.0,60488.0,95.0,Tier2,0,2
124,18.0,25885.0,76.0,Tier1,1,4
125,42.0,45806.0,,Tier3,1,11
126,61.0,48092.0,88.0,Tier2,0,4
127,23.0,57092.0,132.0,Tier3,0,6
128,28.0,9163.0,61.0,Tier1,0,7
129,36.0,52492.0,88.0,Tier2,0,5
130,29.0,32754.0,80.0,Tier3,0,4
131,16.0,54865.0,80.0,Tier1,0,7
132,36.0,34455.0,95.0,Tier2,0,6
133,22.0,37168.0,52.0,Tier2,0,8
134,41.0,45896.0,50.0,Tier1,0,5
135,24.0,34215.0,66.0,Tier3,0,4
136,54.0,42867.0,56.0,Tier1,0,4
137,26.0,32099.0,66.0,Tier2,0,6
138,31.0,22502.0,91.0,Tier3,0,6
139,45.0,65269.0,50.0,Tier3,0,11
140,20.0,30559.0,54.0,Tier3,1,5
141,38.0,47320.0,63.0,Tier2,0,3
142,51.0,61293.0,55.0,Tier2,1,6
143,16.0,40776.0,22.0,Tier2,0,9
144,37.0,37623.0,48.0,Tier1,0,2
145,38.0,53394.0,74.0,Tier1,1,4
146,44.0,66769.0,89.0,Tier2,0,2
147,20.0,32460.0,37.0,Tier1,0,3
148,19.0,47748.0,37.0,Tier3,0,5
149,41.0,24013.0,61.0,Tier2,0,2
150,39.0,44102.0,18.0,Tier1,0,6
151,38.0,50513.0,51.0,Tier1,1,5
152,39.0,37181.0,25.0,Tier3,0,5
153,27.0,43145.0,87.0,Tier3,1,2
154,38.0,28877.0,45.0,Tier1,0,5
155,39.0,51156.0,93.0,Tier3,0,5
156,26.0,,82.0,Tier2,1,7
157,57.0,33543.0,47.0,Tier2,0,5
158,41.0,40660.0,39.0,Tier3,1,4
159,21.0,57538.0,56.0,Tier1,0,3
160,43.0,68181.0,58.0,Tier2,0,5
161,,27602.0,67.0,Tier1,0,5
162,44.0,47468.0,44.0,Tier1,0,7
163,49.0,54247.0,75.0,Tier1,0,4
164,25.0,48469.0,65.0,Tier1,0,5
165,47.0,12848.0,53.0,Tier2,0,4
166,40.0,57516.0,,Tier1,0,7
167,45.0,72790.0,56.0,Tier2,0,4
168,58.0,51750.0,44.0,Tier2,1,7
169,32.0,34533.0,61.0,Tier3,0,5
170,26.0,42303.0,62.0,Tier2,1,4
171,24.0,76549.0,65.0,Tier3,0,7
172,25.0,63649.0,95.0,Tier1,0,3
173,34.0,59600.0,57.0,Tier2,1,0
174,39.0,55346.0,80.0,Tier1,1,8
175,38.0,40083.0,65.0,Tier2,1,5
176,45.0,46991.0,55.0,Tier1,0,4
177,35.0,48831.0,58.0,Tier2,0,4
178,,58244.0,59.0,Tier1,0,5
179,32.0,72634.0,66.0,Tier1,1,4
180,68.0,66775.0,41.0,Tier2,0,6
181,43.0,28709.0,31.0,Tier3,1,10
182,25.0,53360.0,73.0,Tier1,1,6
183,22.0,61051.0,78.0,Tier3,1,5
184,41.0,59283.0,75.0,Tier1,1,2
185,32.0,40561.0,63.0,Tier2,1,5
186,44.0,93712.0,75.0,Tier3,0,8
187,41.0,30844.0,74.0,Tier1,0,6
188,,33752.0,,Tier2,0,4
189,25.0,53504.0,43.0,Tier1,1,6
190,17.0,81752.0,38.0,Tier1,0,7
191,30.0,37457.0,,Tier3,1,6
192,45.0,46013.0,60.0,Tier2,1,5
193,38.0,66159.0,55.0,Tier3,1,9
194,20.0,49732.0,22.0,Tier1,0,4
195,37.0,44981.0,94.0,Tier2,1,6
196,40.0,58484.0,55.0,Tier2,0,5
197,24.0,54088.0,,Tier3,1,5
198,37.0,65457.0,85.0,Tier1,0,3
199,36.0,69372.0,13.0,Tier3,1,6
200,21.0,54605.0,50.0,Tier2,0,10
201,39.0,54376.0,52.0,Tier2,1,6
202,42.0,53212.0,53.0,Tier1,0,5
203,48.0,57337.0,57.0,Tier3,1,5
204,48.0,50828.0,,Tier2,0,9
205,18.0,49991.0,73.0,Tier2,1,7
206,24.0,,,Tier2,0,5
207,41.0,72742.0,61.0,Tier1,1,7
208,41.0,27387.0,32.0,Tier1,0,6
209,41.0,50150.0,18.0,Tier3,0,5
210,81.0,39670.0,29.0,Tier1,1,6
211,42.0,45335.0,67.0,Tier3,1,5
212,49.0,56038.0,61.0,Tier2,1,6
213,46.0,60042.0,56.0,Tier1,1,3
214,43.0,48318.0,53.0,Tier2,0,8
215,31.0,21300.0,100.0,Tier2,0,3
216,44.0,35524.0,44.0,Tier2,0,3
217,26.0,63447.0,79.0,Tier3,0,4
218,32.0,8894.0,60.0,Tier1,0,6
219,29.0,67811.0,59.0,Tier3,1,4
220,36.0,57818.0,84.0,Tier2,0,5
221,63.0,69743.0,89.0,Tier3,0,6
222,13.0,47021.0,55.0,Tier1,1,3
223,43.0,19079.0,76.0,Tier1,0,5
224,16.0,56455.0,67.0,Tier2,0,6
225,29.0,69120.0,60.0,Tier1,0,6
226,48.0,63871.0,64.0,Tier3,1,8
227,36.0,40060.0,46.0,Tier1,0,8
228,22.0,51301.0,54.0,Tier1,1,4
229,26.0,42007.0,48.0,Tier1,0,5
230,43.0,37711.0,78.0,Tier1,0,4
231,26.0,64331.0,58.0,Tier2,0,6
