emp_id,age,salary,department,experience_years,last_promotion_year,performance_score,work_hours_per_week,remote_work_ratio,job_satisfaction,left_company,joining_date,bonus,manager_rating,training_hours,city,loan_default_history
E00001,39,9999999,Sales,45,2021,3.0,50,33,5.0,No,32/01/2020,5000.0,5,110,Bangalore,Yes
E00002,22,82k,HR,4,2015,5.0,35,75,9.0,No,,0.0,5,14,Kolkata,Yes
E00003,36,"38,165",HR,45,2016,5.0,60,26,4.0,No,April 11 2021,,5,71,Kolkata,No
E00004,,"33,428",Information Technology,17,2012,2.0,120,85,,No,2019/12/09,1000.0,3,131,Mumbai,No
E00005,98,9999999,Sales,,2015,3.0,45,3,,No,30-12-2018,2000.0,3,147,Bangalore,Yes
E00006,2,18049,FIN,34,2016,5.0,50,57,,No,32/01/2020,,4,2,,Yes
E00007,37,₹114352,Information Technology,18,2013,,35,53,9.0,Yes,04-01-2021,,2,44,,No
E00008,thirty,9999999,Operations,ten,2016,,35,30,1.0,No,2024/12/27,,2,147,Mumbai,Yes
E00009,38,159071,,60,2024,,120,61,8.0,No,25-09-2021,,2,129,Delhi,No
E00010,thirty,95886,,,2011,,35,70,1.0,No,2020/04/27,1000.0,2,85,Delhi,Yes
E00011,82,"90,966",Information Technology,,2023,,50,34,2.0,No,June 06 2021,,1,127,Delhi,Yes
E00012,thirty,₹74071,Finance,,2013,,35,96,8.0,No,,,1,139,Mumbai,Yes
E00013,-4,9999999,Information Technology,57,2012,,45,40,,Yes,14-11-2015,2000.0,3,17,Mumbai,Yes
E00014,thirty,63k,Sales,11,2016,5.0,50,80,9.0,No,,,1,66,Pune,No
E00015,30,-40808,Information Technology,ten,2011,2.0,50,75,,No,32/01/2020,2000.0,1,141,Delhi,Yes
E00016,49,9999999,Sales,39,2024,,60,81,,No,,5000.0,4,108,Delhi,Yes
E00017,45,"25,787",Finance,26,2012,1.0,10,20,9.0,Yes,,,2,134,Delhi,Yes
E00018,thirty,120280,HR,28,2016,2.0,50,92,10.0,No,2015/07/11,,3,18,Delhi,No
E00019,,43k,it,ten,2018,3.0,10,98,,No,32/01/2020,1000.0,2,113,Kolkata,Yes
E00020,1,₹28839,FIN,26,2015,,45,15,8.0,No,2015/09/16,,3,193,Kolkata,Yes
E00021,,67k,Operations,ten,2015,3.0,50,18,6.0,No,January 02 2025,0.0,4,27,Bangalore,Yes
E00022,96,-18818,Sales,,2014,4.0,35,68,3.0,Yes,August 31 2020,1000.0,1,132,Pune,Yes
E00023,,182832,Information Technology,45,2023,4.0,50,41,2.0,No,26-03-2020,,1,1,Mumbai,Yes
E00024,,"67,925",IT,,2022,2.0,45,22,10.0,No,February 14 2016,0.0,5,91,Chennai,Yes
E00025,42,"33,328",FIN,0,2019,4.0,45,5,3.0,No,September 07 2017,,3,118,Bangalore,No
E00026,95,27k,Information Technology,17,2015,5.0,10,89,3.0,No,32/01/2020,,3,50,Delhi,No
E00027,,-2847,it,ten,2011,4.0,50,64,5.0,No,,5000.0,5,96,Pune,No
E00028,thirty,"21,519",FIN,13,2010,1.0,120,13,1.0,No,2017/10/09,0.0,4,86,Chennai,Yes
E00029,,183585,Information Technology,,2023,4.0,120,25,,No,03-08-2016,1000.0,2,6,,Yes
E00030,54,₹126174,FIN,14,2010,,120,56,5.0,No,2025/10/26,8000.0,4,113,Pune,No
E00031,59,-9758,it,ten,2020,3.0,35,62,2.0,No,,1000.0,3,107,Delhi,No
E00032,57,40903,Human Resource,21,2022,4.0,10,97,,No,2021/08/14,2000.0,3,163,Chennai,No
E00033,,52k,Information Technology,,2016,5.0,45,59,4.0,No,32/01/2020,,4,141,Delhi,No
E00034,thirty,30k,Human Resource,38,2017,,35,82,1.0,No,32/01/2020,2000.0,2,147,,No
E00035,82,-14189,Operations,15,2015,,50,36,,No,32/01/2020,1000.0,5,8,Mumbai,No
E00036,8,9999999,Human Resource,,2011,,40,30,8.0,No,04-01-2024,,3,19,,Yes
E00037,thirty,"29,572",HR,57,2020,2.0,50,60,,No,July 07 2020,,5,92,Kolkata,Yes
E00038,50,-28556,Operations,52,2013,3.0,40,18,,Yes,December 22 2015,,1,157,Chennai,No
E00039,96,141251,Human Resource,,2017,1.0,40,35,6.0,No,2015/11/14,,5,199,,No
E00040,,140840,IT,10,2012,4.0,50,11,,No,,8000.0,2,151,Chennai,Yes
E00041,22,-35681,it,48,2017,4.0,35,69,,No,November 12 2019,,5,90,Pune,No
E00042,58,67848,Operations,23,2017,1.0,45,50,7.0,No,07-07-2019,5000.0,5,182,Mumbai,Yes
E00043,116,83k,,,2015,,60,53,6.0,No,,,4,166,Kolkata,Yes
E00044,,37k,Finance,25,2022,2.0,40,0,,No,,0.0,3,32,Pune,Yes
E00045,5,"89,584",Sales,ten,2022,3.0,10,30,,Yes,2018/12/01,,1,134,Pune,Yes
E00046,42,₹105884,Operations,25,2013,,50,14,2.0,No,December 12 2022,,3,131,Pune,No
E00047,,85k,Sales,ten,2010,,120,57,,No,32/01/2020,2000.0,3,197,Delhi,No
E00048,114,₹102787,HR,50,2017,3.0,10,42,,No,November 18 2016,0.0,3,38,Pune,No
E00049,thirty,"67,448",HR,ten,2012,,35,56,4.0,No,2019/06/22,,2,10,Mumbai,Yes
E00050,107,42k,Sales,,2023,5.0,45,77,2.0,No,32/01/2020,0.0,2,199,,No
E00051,,32k,it,ten,2012,1.0,50,48,3.0,No,2019/11/08,,4,33,Mumbai,Yes
E00052,45,24k,FIN,48,2023,,60,78,,No,32/01/2020,,3,75,Delhi,No
E00053,thirty,9999999,it,ten,2010,,120,11,5.0,No,32/01/2020,,5,164,Chennai,No
E00054,87,"85,805",Operations,42,2023,3.0,40,80,,No,2024/01/20,5000.0,5,77,Delhi,Yes
E00055,42,9999999,HR,21,2010,2.0,45,96,,No,,2000.0,1,69,Mumbai,No
E00056,7,9999999,IT,,2018,1.0,40,93,,No,,,3,124,Chennai,No
E00057,,₹131781,FIN,28,2015,4.0,120,20,2.0,No,,,4,97,Bangalore,Yes
E00058,,9999999,Operations,47,2013,5.0,45,97,7.0,No,32/01/2020,,2,190,Kolkata,No
E00059,,₹98885,FIN,,2018,,50,86,8.0,Yes,32/01/2020,,2,82,Kolkata,Yes
E00060,60,"74,475",Sales,47,2020,3.0,35,84,,No,2020/05/28,,5,197,,Yes
E00061,,67k,Human Resource,,2022,,10,96,5.0,No,28-11-2015,2000.0,3,190,Kolkata,Yes
E00062,83,-22803,Human Resource,45,2023,,120,90,2.0,No,2016/09/20,,1,11,,No
E00063,,-9294,Sales,ten,2020,5.0,50,56,4.0,No,2022/06/09,0.0,1,139,Delhi,Yes
E00064,thirty,9999999,Operations,59,2019,3.0,45,18,,No,May 17 2023,1000.0,4,60,Bangalore,No
E00065,,-4369,Human Resource,ten,2015,1.0,50,24,5.0,Yes,November 27 2018,1000.0,2,69,Delhi,No
E00066,,₹146380,FIN,46,2013,,35,88,,No,December 27 2016,,5,18,,Yes
E00067,18,9999999,it,19,2012,3.0,45,10,5.0,No,,,4,163,,No
E00068,97,"35,827",Information Technology,43,2021,4.0,120,7,,Yes,32/01/2020,,1,179,Bangalore,No
E00069,0,9999999,,23,2018,3.0,60,98,,No,22-12-2020,,4,119,Kolkata,No
E00070,thirty,₹69369,Sales,57,2017,5.0,35,35,,No,January 20 2022,5000.0,1,143,Kolkata,Yes
E00071,25,-31965,HR,52,2022,1.0,120,97,,No,32/01/2020,,1,181,,Yes
E00072,55,-17015,Operations,,2010,,45,39,1.0,No,2017/12/25,,5,114,Pune,Yes
E00073,thirty,23843,Sales,,2016,2.0,50,6,2.0,No,2020/11/03,5000.0,3,125,,Yes
E00074,54,75936,Human Resource,30,2021,2.0,40,40,,No,32/01/2020,,4,83,Bangalore,Yes
E00075,45,-20450,Finance,46,2010,4.0,40,13,,No,May 19 2021,,4,31,Bangalore,Yes
E00076,53,9999999,FIN,,2015,5.0,45,86,3.0,No,19-02-2022,5000.0,4,16,Kolkata,No
E00077,52,₹57172,it,,2013,4.0,35,38,,No,2020/06/20,5000.0,3,114,,No
E00078,113,112380,Finance,58,2010,4.0,120,9,6.0,No,September 26 2022,,1,40,Chennai,No
E00079,108,-3624,,,2013,3.0,10,75,3.0,No,30-10-2025,,3,96,Pune,No
E00080,44,-16370,IT,,2020,2.0,120,11,,No,32/01/2020,,2,179,Kolkata,No
E00081,6,41k,HR,,2016,,35,21,,No,32/01/2020,1000.0,4,46,Delhi,No
E00082,thirty,68k,Finance,,2014,4.0,40,71,3.0,No,,,1,181,Chennai,No
E00083,-1,186162,Operations,55,2019,2.0,40,40,2.0,No,32/01/2020,,5,170,Chennai,Yes
E00084,-10,-32609,IT,25,2020,5.0,60,49,10.0,No,,,3,26,Chennai,Yes
E00085,thirty,₹132375,it,ten,2023,2.0,50,44,,No,32/01/2020,,3,34,Delhi,No
E00086,,19931,,49,2012,2.0,35,26,6.0,No,2015/06/27,2000.0,4,90,,No
E00087,22,₹20693,IT,ten,2022,1.0,50,85,10.0,No,,1000.0,5,198,Pune,Yes
E00088,1,9999999,IT,ten,2023,,60,87,,No,32/01/2020,5000.0,1,192,Delhi,No
E00089,116,167045,HR,9,2019,2.0,10,33,4.0,No,20-05-2021,,4,192,,No
E00090,thirty,"47,517",,ten,2016,4.0,10,61,,No,32/01/2020,2000.0,1,75,Kolkata,Yes
E00091,,187356,,23,2024,4.0,35,43,5.0,No,32/01/2020,,3,166,Delhi,Yes
E00092,42,38k,IT,ten,2013,2.0,60,15,,Yes,32/01/2020,,1,14,Pune,No
E00093,111,64812,it,30,2021,,60,80,,No,06-06-2017,,3,125,,Yes
E00094,92,"64,269",,45,2015,1.0,50,7,,No,32/01/2020,,5,3,Pune,Yes
E00095,thirty,-47390,FIN,,2016,4.0,60,62,,No,February 27 2019,,5,42,Delhi,No
E00096,87,"25,175",it,ten,2023,4.0,40,2,4.0,No,32/01/2020,,2,108,Chennai,No
E00097,0,9999999,Information Technology,2,2012,1.0,50,9,,No,12-12-2024,8000.0,2,134,Kolkata,Yes
E00098,8,9999999,FIN,,2013,3.0,40,36,,No,2020/05/04,,3,33,,No
E00099,,-2055,Finance,47,2017,4.0,45,37,,No,25-07-2019,8000.0,3,163,Mumbai,Yes
E00100,2,₹117534,Human Resource,ten,2023,5.0,40,50,,Yes,May 21 2020,,3,92,Pune,Yes
E00101,thirty,20k,FIN,ten,2023,2.0,120,56,,No,January 31 2018,,4,179,,No
E00102,119,-14686,Sales,7,2016,,10,44,8.0,No,32/01/2020,,1,30,Chennai,Yes
E00103,thirty,137600,FIN,13,2016,,45,27,,No,2020/08/04,1000.0,1,96,Chennai,Yes
E00104,4,61k,Operations,ten,2020,3.0,120,55,3.0,No,32/01/2020,,4,121,Chennai,No
E00105,18,9999999,Operations,ten,2017,5.0,60,99,1.0,No,,2000.0,1,122,Pune,Yes
E00106,-5,66k,HR,59,2017,2.0,10,91,5.0,No,September 21 2024,,1,41,Kolkata,No
E00107,2,"44,436",IT,ten,2017,5.0,50,83,,No,07-05-2023,,5,65,Mumbai,No
E00108,thirty,₹78790,IT,,2020,,60,97,9.0,No,,2000.0,1,22,,No
E00109,thirty,195689,FIN,ten,2018,,10,64,,No,2018/10/30,,1,178,Kolkata,Yes
E00110,thirty,70k,Finance,1,2020,5.0,40,99,,No,,,2,54,Delhi,Yes
E00111,,187324,Human Resource,ten,2012,2.0,40,51,,No,May 30 2015,,2,116,Delhi,Yes
E00112,51,41149,FIN,59,2023,,60,34,6.0,No,32/01/2020,,3,36,Chennai,Yes
E00113,51,-22713,Information Technology,ten,2013,,45,17,7.0,No,32/01/2020,2000.0,5,133,Delhi,No
E00114,32,₹30881,Information Technology,,2019,4.0,10,14,,No,09-07-2021,1000.0,5,191,Bangalore,No
E00115,57,14214,Human Resource,25,2020,,45,45,9.0,No,,,2,146,Pune,No
E00116,thirty,"23,079",Information Technology,47,2019,5.0,50,71,8.0,No,October 16 2019,5000.0,4,169,Delhi,Yes
E00117,,33556,Human Resource,,2012,,10,48,10.0,No,32/01/2020,,2,197,Bangalore,Yes
E00118,59,-39552,Operations,56,2016,,120,37,,No,December 14 2017,2000.0,3,59,Chennai,Yes
E00119,0,₹101608,Operations,28,2014,,60,23,6.0,No,27-08-2018,,5,56,,Yes
E00120,,₹38380,IT,,2023,2.0,40,63,10.0,No,December 25 2022,1000.0,3,35,Chennai,Yes
E00121,83,44k,FIN,2,2010,,120,96,9.0,No,2020/05/05,,4,165,Delhi,Yes
E00122,0,148650,FIN,21,2021,4.0,35,61,9.0,No,18-06-2022,2000.0,2,42,Mumbai,Yes
E00123,thirty,"65,311",HR,ten,2010,1.0,35,60,,No,32/01/2020,1000.0,2,199,Delhi,No
E00124,5,193278,it,29,2021,4.0,120,23,3.0,No,,5000.0,5,140,Delhi,No
E00125,9,₹142122,Human Resource,8,2012,1.0,10,62,7.0,No,August 31 2022,2000.0,5,181,Chennai,Yes
E00126,,83576,Operations,ten,2019,5.0,120,88,5.0,No,32/01/2020,,5,31,Bangalore,No
E00127,thirty,-35406,HR,ten,2012,,60,1,7.0,No,2015/11/11,0.0,4,77,Pune,Yes
E00128,49,83508,Operations,0,2020,,45,44,8.0,No,September 14 2024,1000.0,1,167,Mumbai,No
E00129,,₹62215,Finance,ten,2024,4.0,45,68,,No,32/01/2020,5000.0,2,198,Kolkata,No
E00130,thirty,40k,Information Technology,58,2018,3.0,10,97,,No,22-06-2016,8000.0,3,70,Kolkata,No
E00131,40,9999999,Information Technology,,2011,,10,22,1.0,No,32/01/2020,,5,93,Mumbai,No
E00132,54,9999999,Finance,32,2018,3.0,60,79,10.0,No,32/01/2020,,3,109,Kolkata,Yes
E00133,23,"22,707",Operations,ten,2024,5.0,120,69,3.0,No,32/01/2020,2000.0,1,113,Delhi,No
E00134,114,-22238,Information Technology,,2015,,50,25,4.0,No,September 04 2020,1000.0,1,84,Pune,No
E00135,97,22k,IT,,2020,,10,19,8.0,No,2016/02/12,0.0,3,200,Bangalore,No
E00136,,9999999,,38,2016,4.0,50,76,1.0,No,32/01/2020,,3,160,,Yes
E00137,48,-38698,HR,39,2014,3.0,10,93,1.0,No,,8000.0,3,188,,Yes
E00138,thirty,56k,Finance,ten,2019,3.0,60,42,,No,,,3,25,Mumbai,No
E00139,thirty,38k,Finance,,2015,3.0,45,23,6.0,No,December 24 2020,,2,7,Kolkata,No
E00140,113,"41,115",Operations,42,2017,1.0,60,13,7.0,No,32/01/2020,,4,194,Chennai,Yes
E00141,thirty,₹37627,Human Resource,19,2013,3.0,60,7,1.0,No,2022/10/16,0.0,4,117,,Yes
E00142,30,9999999,Human Resource,3,2021,3.0,10,49,,Yes,,,5,130,Delhi,No
E00143,50,"22,774",,ten,2014,3.0,35,73,1.0,No,2025/05/24,8000.0,5,45,Kolkata,No
E00144,,52k,Finance,,2011,2.0,10,78,9.0,No,2020/12/26,8000.0,5,4,Chennai,Yes
E00145,105,-30309,IT,47,2022,3.0,10,39,6.0,No,2015/08/29,,4,53,,No
